speaker_id,role,age_range,native_language,accent,country,consent_obtained,consent_date,guardian_consent,notes
EXAMPLE-spk-001,child_participant,6-8,Swahili,Coastal Kenyan Swahili,Kenya,yes,2026-08-01,yes,EXAMPLE-DELETE-ME -- guardian_consent is mandatory (not N/A) for any speaker under 18; recording a child without it is a hard stop.
EXAMPLE-spk-002,child_participant,9-11,Yoruba,Ibadan Yoruba,Nigeria,yes,2026-08-02,yes,"EXAMPLE-DELETE-ME -- age_range uses bands, not exact age, to limit identifying detail kept about a child."
EXAMPLE-spk-003,facilitator,adult,Swahili,Nairobi Swahili,Kenya,yes,2026-08-01,n/a,EXAMPLE-DELETE-ME -- guardian_consent = n/a is only valid for adult speakers.
spk-sw-001,volunteer_adult,25-30,Swahili,Standard Kiswahili,Democratic Republic of the Congo,yes,2026-08-15,n/a,Standard Kiswahili contributor from the Democratic Republic of the Congo. Consent confirmed on 2026-08-15.
spk-yo-001,volunteer_adult,25-34,Yoruba,Standard Yoruba,Nigeria,yes,2026-08-15,n/a,Man speaker.  Source folder C2-C45 maps to the first 44 scaffold acts because numbering includes the CSV header row. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15.
spk-yo-002,volunteer_adult,25-34,Yoruba,Standard Yoruba,Nigeria,yes,2026-08-15,n/a,Woman speaker.  Source labels C46-C87 map to scaffold acts 45-86 because numbering includes the CSV header row. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15. Standard Yoruba contributor from Nigeria; consent confirmed on 2026-08-15.
spk-yo-003,child_participant,10-15,Yoruba,Standard Yoruba,Nigeria,yes,2026-08-15,yes,Set A child participant aged 10-15 from Nigeria. Contributor and guardian consent confirmed on 2026-08-15; speaker/session mapping confirmed for V0.
spk-yo-004,child_participant,10-15,Yoruba,Standard Yoruba,Nigeria,yes,2026-08-15,yes,Set A child participant aged 10-15 from Nigeria. Contributor and guardian consent confirmed on 2026-08-15; speaker/session mapping confirmed for V0.
